confirmed_exchange_in_atom,confirmed_exchange_out_atom,unconfirmed_behavioral_in_atom,ibc_inbound_atom,ibc_outbound_atom,confirmed_exchange_gross_atom,confirmed_exchange_net_in_atom,all_behavioral_candidate_in_atom,ibc_gross_atom,ibc_net_inbound_atom,binance_usdt_range_pct_of_open,binance_usdt_base_volume_atom,binance_usdt_quote_volume,binance_usdt_trade_count,binance_usdt_realized_abs_return_pct,max_usdt_vs_usdc_low_discount_pct,max_usdt_vs_mark_low_discount_pct,max_usdt_vs_coinbase_low_discount_pct,start_utc,end_utc
35878.139206,36703.733436,54695.782822,12320.947222,9418.405812,72581.872642,-825.5942300000024,90573.922028,21739.353034,2902.54141,0.6737031214911151,64732.46,289398.85238,1633.0,3.669129506377744,0.13407821229048933,-0.01982029537561658,0.15631978561857496,2025-09-20T20:30:00Z,2025-09-20T22:30:00Z
24329.245689,23858.60874,116222.549075,4751.292931999999,7263.089799,48187.854429,470.63694899999973,140551.794764,12014.382731,-2511.796867000001,0.9004952723998207,52179.68,230784.35019,1652.0,4.771652490017875,0.13565453312232023,-0.01650770196803819,0.20320614134117232,2025-09-21T20:30:00Z,2025-09-21T22:30:00Z
37224.031666,11934.780039,46300.03314,31571.354213,17335.269605,49158.811705,25289.251627000005,83524.06480600001,48906.623818,14236.084607999997,1.2898515453881707,99158.19,410753.258,2533.0,5.189086023290934,0.2403268445085316,0.02408477842004153,0.16940948693126012,2025-09-22T20:30:00Z,2025-09-22T22:30:00Z
22372.971676,23017.652362,206114.395836,9224.345103,10972.534165000001,45390.624038,-644.6806859999997,228487.36751200003,20196.879268,-1748.1890620000013,1.1349915479352743,78270.97,325104.90458,2875.0,6.6204572600355505,0.16774502755810827,0.0,0.16883743367099857,2025-09-23T20:30:00Z,2025-09-23T22:30:00Z
13369.531345,14747.777889,70932.486569,7294.409067,12180.351851,28117.309234,-1378.2465440000014,84302.017914,19474.760918,-4885.942784,0.8868648130393078,55547.43,231411.58805,1880.0,5.496137332015616,0.16786570743404505,-0.04793863854268832,0.09636232233195541,2025-09-24T20:30:00Z,2025-09-24T22:30:00Z
23285.237096,25697.430923,2134085.6209340002,12408.165725,14600.472401,48982.668019000004,-2412.193826999999,2157370.8580300002,27008.638126,-2192.306676,1.3892334408335414,116556.74,469426.55253,3944.0,9.624071216916551,0.32178217821782207,-0.010004955414188998,0.1987083954297031,2025-09-25T20:30:00Z,2025-09-25T22:30:00Z
35122.280409,14428.677473,95057.250196,5743.778608,10736.99133,49550.957882,20693.602936,130179.53060499999,16480.769938,-4993.212722000001,0.6045949214026688,85336.45,351854.95058,2079.0,5.871504242745673,0.19408054342552328,0.011634546142991198,0.21828765462043043,2025-09-26T20:30:00Z,2025-09-26T22:30:00Z
53572.208988,52632.307612,193902.770827,24481.721835,193308.729005,106204.5166,939.9013760000016,247474.979815,217790.45084,-168827.00717,1.8119490695396634,144379.62,594050.18721,2987.0,5.447423492487058,0.12215978499877655,0.0,0.12138868657440849,2025-09-27T20:30:00Z,2025-09-27T22:30:00Z
42450.901578000005,42804.485224000004,245599.26890700002,15100.080061,7402.76556,85255.38680200001,-353.58364599999913,288050.170485,22502.845621,7697.314501000001,1.38081395348836,131420.61,545101.26408,2919.0,5.817421341731932,0.12077294685990392,0.048344210780748575,0.16774502755810827,2025-09-28T20:30:00Z,2025-09-28T22:30:00Z
25791.959846,26761.202428,109680.506696,16466.238763999998,8682.735394,52553.162274,-969.242581999999,135472.466542,25148.974157999997,7783.5033699999985,0.8950169327527799,89694.96,372350.26608,2295.0,4.845694787231203,0.16867469879519037,0.009646922631678656,0.14499758337361834,2025-09-29T20:30:00Z,2025-09-29T22:30:00Z
66993.149241,64935.231172,703463.868167,42477.944008,47411.969865,131928.380413,2057.9180690000067,770457.0174080001,89889.913873,-4934.0258570000005,0.760922925871372,153055.49,625833.95332,2577.0,5.842514240540497,0.2682272616435055,-0.007362332606164479,0.12245897624295621,2025-09-30T20:30:00Z,2025-09-30T22:30:00Z
717831.452808,735518.765565,938725.878332,1077426.067973,1616885.548681,1453350.2183730002,-17687.312756999978,1656557.33114,2694311.6166540002,-539459.480708,2.053140096618357,973389.07,3991137.92343,15042.0,9.77922214702518,0.19579050416055344,0.09789525208028227,0.22021042329335438,2025-10-01T20:30:00Z,2025-10-01T22:30:00Z
48060.96753,45139.053879,160104.137141,14376.220233,10338.366777,93200.02140900001,2921.9136510000026,208165.104671,24714.58701,4037.8534560000007,1.0016305613789924,152709.24,657372.69792,3436.0,5.576082469198407,0.18626309662398421,0.0,0.16245068461361312,2025-10-02T20:30:00Z,2025-10-02T22:30:00Z
26079.23441,31092.591437,419938.169162,11060.764803,29940.751945,57171.825847,-5013.357026999998,446017.403572,41001.516748,-18879.987141999998,0.6267409470752121,79421.7,342500.54378,1998.0,4.0816653101667155,0.23105360443624878,0.0,0.1392434439545176,2025-10-03T20:30:00Z,2025-10-03T22:30:00Z
9426.540495,6875.200195,145305.953095,12322.329891,18011.266968,16301.740689999999,2551.340299999999,154732.49359,30333.596858999997,-5688.9370770000005,0.55757575757575,58984.32,243495.44525,1386.0,3.6092469071808075,0.21791767554477648,-0.036341611144741215,0.14513788098694524,2025-10-04T20:30:00Z,2025-10-04T22:30:00Z
7110.762251,6761.351014,146885.756136,14027.819532,11168.635388,13872.113265,349.41123700000026,153996.51838700002,25196.45492,2859.184143999999,0.7714561234329804,65414.84,271437.19036,2219.0,5.76153632976395,0.14468290330359457,0.0,0.12045290291495814,2025-10-05T20:30:00Z,2025-10-05T22:30:00Z
22232.719908,21667.876569,113556.570778,17596.675548,26538.383825,43900.596477,564.8433389999991,135789.290686,44135.059373,-8941.708277000002,0.7697690692792247,96806.58,414325.95427,2256.0,5.6060591604166765,0.13992537313433084,0.04676174888940121,0.18621973929237035,2025-10-06T20:30:00Z,2025-10-06T22:30:00Z
12630.864282999999,14849.403492,54621.401261,22032.395172,48094.676206,27480.267775,-2218.5392090000005,67252.265544,70127.071378,-26062.281033999996,0.9775171065493656,87631.71,357604.73461,1975.0,5.464910256174305,0.24384296513044745,0.04894762604015224,0.14752889107451095,2025-10-07T20:30:00Z,2025-10-07T22:30:00Z
160383.051917,149918.94388,90587.180724,27013.107999,13480.358788,310301.995797,10464.108036999998,250970.232641,40493.466787,13532.749211,0.8137865007180424,110877.33,462683.61871,2541.0,5.371894889381013,0.1911132345915001,0.0054634556908683685,0.1672640382317736,2025-10-08T20:30:00Z,2025-10-08T22:30:00Z
42842.840461,44448.158827,95991.234232,13755.439607,55027.186509,87290.99928799999,-1605.3183659999995,138834.074693,68782.626116,-41271.746902,0.6195786864931714,86726.55,350657.2649,1758.0,5.046036927291797,0.14851485148514865,-0.01615957042140348,0.14822134387352248,2025-10-09T20:30:00Z,2025-10-09T22:30:00Z
